Nombre,Símbolo,Precio,Market Cap,Volumen 24h
c8ntinuum,CTM,0.09321,406.37M,742174
Legacy Frax Dollar,FRAX,0.9912,273.73M,14679735
Undeads Games,UDS,2.19,218.13M,535987
Ape and Pepe,APEPE,0.051006,211.31M,20753912
Ultima,ULTIMA,5633.22,210.73M,20834204
Zeebu,ZBU,0.4648,192.29M,69178
SwissBorg,N/A,0.20,0,0
WeFi,N/A,2.36,0,0
AUSD,N/A,1.00,0,0
Aster USDF,N/A,1.00,0,0
48 Club Token,N/A,47.90,0,0
GUSD,N/A,1.00,0,0
SoSoValue,N/A,0.51,0,0
Loaded Lions,N/A,0.00,0,0
Rollbit Coin,N/A,0.08,0,0
Zano,N/A,9.09,0,0
Ailey,N/A,0.31,0,0
GoМining,N/A,0.33,0,0
StandX DUSD,N/A,1.00,0,0
Keeta,N/A,0.27,0,0
ADI,N/A,2.45,0,0
BitMart Token,N/A,0.38,0,0
Ribbita by Virtuals,N/A,0.12,0,0
Frax USD,N/A,1.00,0,0
Concordium,N/A,0.01,0,0
Yooldo,N/A,0.41,0,0
ViciCoin,N/A,17.59,0,0
SLT,N/A,12.49,0,0
The White Whale,N/A,0.10,0,0
MNEE,N/A,1.00,0,0
Akash Network,N/A,0.34,0,0
yearn.finance,N/A,2765.22,0,0
Defi App,N/A,0.03,0,0
Flow,N/A,0.06,0,0
Solana Mobile Seeker,N/A,0.02,0,0
0x Protocol,N/A,0.11,0,0
Verge,N/A,0.01,0,0
Four,N/A,0.24,0,0
Nervos Network,N/A,0.00,0,0
Venice Token,N/A,2.08,0,0
Unibase,N/A,0.04,0,0
CoW Protocol,N/A,0.16,0,0
Core,N/A,0.08,0,0
Mina,N/A,0.07,0,0
SuperVerse,N/A,0.14,0,0
Creditcoin,N/A,0.17,0,0
RaveDAO,N/A,0.37,0,0
NEXPACE,N/A,0.36,0,0
Kusama,N/A,4.82,0,0
Brett (Based),N/A,0.01,0,0
Threshold,N/A,0.01,0,0
Aleo,N/A,0.10,0,0
KAITO,N/A,0.35,0,0
DigiByte,N/A,0.00,0,0
Toshi,N/A,0.00,0,0
Nano,N/A,0.61,0,0
Shuffle,N/A,0.22,0,0
Turbo,N/A,0.00,0,0
Moonbirds,N/A,0.28,0,0
Baby Doge Coin,N/A,0.00,0,0
AI Rig Complex,N/A,0.08,0,0
Movement,N/A,0.02,0,0
Safe,N/A,0.11,0,0
KUB Coin,N/A,1.13,0,0
PlaysOut,N/A,0.10,0,0
EUR CoinVertible,N/A,1.18,0,0
Alchemy Pay,N/A,0.01,0,0
Pieverse,N/A,0.41,0,0
lisUSD,N/A,1.00,0,0
AIOZ Network,N/A,0.06,0,0
Alchemist AI,N/A,0.09,0,0
RealLink,N/A,0.05,0,0
Ronin,N/A,0.10,0,0
Velo,N/A,0.00,0,0
U.S. Dollar Tokenized Currency (Ondo),N/A,1.00,0,0
Numeraire,N/A,9.81,0,0
SOON,N/A,0.18,0,0
Siacoin,N/A,0.00,0,0
USDH,N/A,1.00,0,0
Request,N/A,0.09,0,0
ZetaChain,N/A,0.06,0,0
Frax (prev. FXS),N/A,0.77,0,0
SPACE ID,N/A,0.06,0,0
Axelar,N/A,0.06,0,0
Comedian,N/A,0.07,0,0
Waves,N/A,0.59,0,0
XPR Network,N/A,0.00,0,0
Holo,N/A,0.00,0,0
Pirate Chain,N/A,0.36,0,0
Astar,N/A,0.01,0,0
Magic Eden,N/A,0.15,0,0
Mog Coin,MOG,0.061758,68.69M,9158732
VVS Finance,VVS,0.051560,67.99M,798608
Paycoin,PCI,0.06377,67.8M,453398
MindWaveDAO,NILA,0.08043,67.78M,354565
aelf,ELF,0.08273,67.73M,3785432
siren,SIREN,0.09257,67.47M,12386421
Dohrnii,DHN,3.93,67.23M,166314
Qubic,QUBIC,0.064989,67.21M,1474547
MultiBank Group,MBG,0.3502,66.88M,19514626
World Mobile Token,WMTX,0.08044,66.54M,1408642323
Tesla tokenized stock (xStock),TSLAX,401.78,66.09M,9006141
InitVerse,INI,0.1209,66.06M,1348283
Kava,KAVA,0.06094,66M,5949971
MetYa,MY,0.06577,65.41M,7614614
Moca Network,MOCA,0.01652,65.31M,13395798
ssv.network,N/A,4.00,0,0
Alphabet Class A Tokenized Stock (Ondo),N/A,330.93,0,0
SushiSwap,N/A,0.23,0,0
Impossible Cloud Network,N/A,0.39,0,0
ORDI,N/A,3.07,0,0
GMX,N/A,6.17,0,0
Quack AI,N/A,0.02,0,0
Matrixdock Gold,N/A,4887.64,0,0
Zama,N/A,0.03,0,0
XYO,N/A,0.00,0,0
Rekt (rekt.com),N/A,0.00,0,0
VeThor Token,N/A,0.00,0,0
Berachain,N/A,0.42,0,0
Succinct,N/A,0.32,0,0
RedStone,N/A,0.20,0,0
WhiteRock,N/A,0.00,0,0
Venus BUSD,N/A,0.02,0,0
Blur,N/A,0.02,0,0
Merlin Chain,N/A,0.05,0,0
IoTeX,N/A,0.01,0,0
GEODNET,N/A,0.14,0,0
Bio Protocol,N/A,0.03,0,0
Sign,N/A,0.04,0,0
Linea,N/A,0.00,0,0
cat in a dogs world,N/A,0.00,0,0
Decentralized Social,N/A,6.48,0,0
Avantis,N/A,0.22,0,0
Plume,N/A,0.01,0,0
Status,N/A,0.01,0,0
HashKey Platform Token,N/A,0.16,0,0
Anchored Coins AEUR,N/A,1.18,0,0
Venus,N/A,3.45,0,0
ChainOpera AI,N/A,0.30,0,0
MANTRA,N/A,0.05,0,0
Victoria VR,N/A,0.00,0,0
Law Blocks (AI),N/A,0.22,0,0
Drift,N/A,0.10,0,0
Cysic,N/A,0.34,0,0
ZIGChain,N/A,0.04,0,0
Popcat (SOL),N/A,0.06,0,0
Vitalum,N/A,0.16,0,0
Peanut the Squirrel,N/A,0.05,0,0
Loopring,N/A,0.04,0,0
BitDCA,N/A,0.70,0,0
BSquared Network,N/A,0.78,0,0
Subsquid,N/A,0.05,0,0
VNDC,N/A,0.00,0,0
Jelly-My-Jelly,N/A,0.05,0,0
Grass,N/A,0.21,0,0
Ankr,N/A,0.01,0,0
Celo,N/A,0.09,0,0
ETHGas,N/A,0.03,0,0
Vana,N/A,1.71,0,0
QuantixAI,N/A,63.15,0,0
Dusk,N/A,0.10,0,0
Spark,N/A,0.02,0,0
Mask Network,N/A,0.50,0,0
Moo Deng (moodengsol.com),N/A,0.05,0,0
UnifAI Network,N/A,0.21,0,0
Orca,N/A,0.83,0,0
UPCX,N/A,0.50,0,0
MobileCoin,N/A,0.25,0,0
Centrifuge,N/A,0.09,0,0
Sologenic,N/A,0.13,0,0
Eurite,N/A,1.18,0,0
Huma Finance,N/A,0.02,0,0
Ardor,N/A,0.05,0,0
ISLM,N/A,0.02,0,0
StorX Network,N/A,0.07,0,0
StraitsX USD,N/A,1.00,0,0
Altlayer,N/A,0.01,0,0
UMA,N/A,0.54,0,0
Memecoin,N/A,0.00,0,0
Gemini Dollar,N/A,1.00,0,0
Chia,N/A,3.32,0,0
Sahara AI,N/A,0.02,0,0
Fractal Bitcoin,N/A,0.50,0,0
Polymesh,N/A,0.05,0,0
Pax Dollar,N/A,1.00,0,0
Casper,N/A,0.00,0,0
ICON,N/A,0.04,0,0
Apertum,N/A,0.61,0,0
LCX,N/A,0.05,0,0
Ontology,N/A,0.05,0,0
GOHOME,N/A,93.06,0,0
Non-Playable Coin,NPC,0.006166,46.48M,11932766
Pundi X (New),PUNDIX,0.1793,46.35M,2732649
Storj,STORJ,0.1079,45.64M,7616499
Constellation,DAG,0.01576,45.3M,1323700
Terra,LUNA,0.06349,45.08M,13296095
BORA,BORA,0.04078,44.85M,1161906
Enjin Coin,ENJ,0.02303,44.47M,7856212
Staika,STIK,0.3244,44.29M,21333
Kinetiq,KNTQ,0.1639,44.28M,2002153
DEAPcoin,DEP,0.001467,43.87M,294497
AI Analysis Token,AIAT,0.2973,43.52M,368667
Notcoin,NOT,0.0004364,43.4M,8615164
Tornado Cash,TORN,8.24,43.38M,80873
Tria,TRIA,0.02001,43.18M,207514872
Tellor,N/A,15.65,0,0
KGeN,N/A,0.20,0,0
BIM,N/A,1.43,0,0
MVL,N/A,0.00,0,0
SKALE,N/A,0.01,0,0
GeorgePlaysClashRoyale,N/A,0.04,0,0
Rootstock Infrastructure Framework,N/A,0.04,0,0
Somnia,N/A,0.20,0,0
EGL1,N/A,0.04,0,0
iExec RLC,N/A,0.49,0,0
Band,N/A,0.25,0,0
Gravity (by Galxe),N/A,0.00,0,0
RateX,N/A,2.51,0,0
Harmony,N/A,0.00,0,0
Tokenlon Network Token,N/A,0.33,0,0
Babylon,N/A,0.01,0,0
GMT,N/A,0.01,0,0
Atoshi,N/A,0.05,0,0
Aegis YUSD,N/A,1.00,0,0
Mango Network,N/A,0.03,0,0
我踏马来了,N/A,0.04,0,0
GUNZ,N/A,0.03,0,0
Quai Network,N/A,0.05,0,0
IOST,N/A,0.00,0,0
Power Protocol,N/A,0.19,0,0
EscoinToken,N/A,0.25,0,0
BUSD,N/A,1.00,0,0
OWB,N/A,0.09,0,0
Hive,N/A,0.08,0,0
Powerledger,N/A,0.07,0,0
EthereumPoW,N/A,0.37,0,0
APRO,N/A,0.16,0,0
Useless Coin,N/A,0.04,0,0
ApeX Protocol,N/A,0.28,0,0
Ark,N/A,0.20,0,0
Pocket Network,N/A,0.02,0,0
Pythia,N/A,0.04,0,0
Tagger,N/A,0.00,0,0
SP500 tokenized ETF (xStock),N/A,683.79,0,0
iShares Silver Trust Tokenized ETF (Ondo),N/A,77.27,0,0
AI Companions,N/A,0.05,0,0
ECOMI,N/A,0.00,0,0
ChangeNOW Token,N/A,0.45,0,0
Acurast,N/A,0.17,0,0
Liquity BOLD,N/A,1.00,0,0
Snek,N/A,0.00,0,0
SwftCoin,N/A,0.00,0,0
ConstitutionDAO,N/A,0.01,0,0
Lagrange,N/A,0.19,0,0
NVIDIA tokenized stock (xStock),N/A,172.72,0,0
Alphabet tokenized stock (xStock),N/A,331.45,0,0
Rocket Pool,N/A,1.67,0,0
SKYAI,N/A,0.04,0,0
Klickl Token,N/A,0.37,0,0
Stronghold SHx,N/A,0.01,0,0
Mango,N/A,0.03,0,0
Audiera,N/A,0.18,0,0
MEET48,N/A,0.03,0,0
Corn,N/A,0.07,0,0
Nasdaq tokenized ETF (xStock),N/A,602.40,0,0
XPIN Network,N/A,0.00,0,0
Burnedfi,N/A,2.92,0,0
OLAXBT,N/A,0.16,0,0
Orbs,N/A,0.01,0,0
Lumera Health,N/A,3.12,0,0
Uchain,N/A,711.39,0,0
Celo Dollar,N/A,1.00,0,0
Orbler,N/A,0.03,0,0
CROSS,N/A,0.11,0,0
Dogelon Mars,N/A,0.00,0,0
GoPlus Security,N/A,0.01,0,0
Spell Token,N/A,0.00,0,0
Neiro,N/A,0.00,0,0
Giggle Fund,N/A,35.30,0,0
TronBank,N/A,0.35,0,0
Brevis,N/A,0.14,0,0
WOO,N/A,0.02,0,0
COTI,N/A,0.01,0,0
Chintai,N/A,0.03,0,0
Secret,N/A,0.10,0,0
Doodles,N/A,0.00,0,0
BounceBit,N/A,0.04,0,0
OpenLedger,N/A,0.16,0,0
Space and Time,N/A,0.02,0,0
Big Time,N/A,0.02,0,0
